,animal,learning phase,average d'
0,AE_238,pre early,0.46811920534518625
1,AE_238,pre late,0.8921270393443941
2,AE_238,pre expert,2.2308685482749326
3,AE_238,post early,-0.6297340863028306
4,AE_238,post late,0.049636424879716104
5,AE_238,post expert,1.8345608478214472
6,AE_238,second early,0.06378069542447715
7,AE_238,second late,0.6585351128695774
8,AE_238,second expert,1.8061013839132538
9,AE_239,pre early,0.3150157624761422
10,AE_239,pre late,
11,AE_239,pre expert,1.8579675623059655
12,AE_239,post early,-0.4222038042101807
13,AE_239,post late,0.08998092530015782
14,AE_239,post expert,1.5094324597944482
15,AE_239,second early,-0.4160497846539241
16,AE_239,second late,0.3123288260917334
17,AE_239,second expert,1.5610008558427577
18,AE_240,pre early,-0.18175009038958656
19,AE_240,pre late,
20,AE_240,pre expert,2.019032045906179
21,AE_240,post early,-0.19896931728112424
22,AE_240,post late,0.5318890565800614
23,AE_240,post expert,1.7517468462749344
24,AE_240,second early,-0.1003606089002084
25,AE_240,second late,0.6401314153496543
26,AE_240,second expert,2.3466676756160596
